FrameNumber,timeOnFrame,lastUpdated,SMI,SCI,STI,FTI,Turnouts,Tags
38117,0,,1,-1,-1,-1,-1,
38118,0,,1,-1,-1,-1,-1,
38119,0,,1,-1,-1,-1,-1,
38120,0,,1,-1,-1,-1,-1,
38121,0,,1,-1,-1,-1,-1,
38122,0,,1,-1,-1,-1,-1,
38123,0,,1,-1,-1,-1,-1,
38124,0,,1,-1,-1,-1,-1,
38125,0,,1,-1,-1,-1,-1,
38126,0,,1,-1,-1,-1,-1,
38127,0,,1,-1,-1,-1,-1,
38128,0,,1,-1,-1,-1,-1,
38129,0,,1,-1,-1,-1,-1,
38130,0,,1,-1,-1,-1,-1,
38131,0,,1,-1,-1,-1,-1,
38132,0,,1,-1,-1,-1,-1,
38133,0,,1,-1,-1,-1,-1,
38134,0,,1,-1,-1,-1,-1,
38135,0,,1,-1,-1,-1,-1,
38136,0,,1,-1,-1,-1,-1,
38137,0,,1,-1,-1,-1,-1,
38138,0,,1,-1,-1,-1,-1,
38139,0,,1,-1,-1,-1,-1,
38140,0,,1,-1,-1,-1,-1,
38141,0,,1,-1,-1,-1,-1,
38142,0,,1,-1,-1,-1,-1,
38143,0,,1,-1,-1,-1,-1,
38144,0,,1,-1,-1,-1,-1,
38145,0,,1,-1,-1,-1,-1,
38146,0,,1,-1,-1,-1,-1,
38147,0,,1,-1,-1,-1,-1,
38148,0,,1,-1,-1,-1,-1,
38149,0,,1,-1,-1,-1,-1,
38150,0,,1,-1,-1,-1,-1,
38151,0,,1,-1,-1,-1,-1,
38152,0,,1,-1,-1,-1,-1,
38153,0,,1,-1,-1,-1,-1,
38154,0,,1,-1,-1,-1,-1,
38155,0,,1,-1,-1,-1,-1,
38156,0,,1,-1,-1,-1,-1,
38157,0,,1,-1,-1,-1,-1,
38158,0,,1,-1,-1,-1,-1,
38159,0,,1,-1,-1,-1,-1,
38160,0,,1,-1,-1,-1,-1,
38161,0,,1,-1,-1,-1,-1,
38162,0,,1,-1,-1,-1,-1,
38163,0,,1,-1,-1,-1,-1,
38164,0,,1,-1,-1,-1,-1,
38165,0,,1,-1,-1,-1,-1,
38166,0,,1,-1,-1,-1,-1,
38167,0,,1,-1,-1,-1,-1,
38168,0,,1,-1,-1,-1,-1,
38169,0,,1,-1,-1,-1,-1,
38170,0,,1,-1,-1,-1,-1,
38171,0,,1,-1,-1,-1,-1,
38172,0,,1,-1,-1,-1,-1,
38173,0,,1,-1,-1,-1,-1,
38174,0,,1,-1,-1,-1,-1,
38175,0,,1,-1,-1,-1,-1,
38176,0,,1,-1,-1,-1,-1,
38177,0,,1,-1,-1,-1,-1,
38178,0,,1,-1,-1,-1,-1,
38179,0,,1,-1,-1,-1,-1,
38180,0,,1,-1,-1,-1,-1,
38181,0,,1,-1,-1,-1,-1,
38182,0,,1,-1,-1,-1,-1,
38183,0,,1,-1,-1,-1,-1,
38184,0,,1,-1,-1,-1,-1,
38185,0,,1,-1,-1,-1,-1,
38186,0,,1,-1,-1,-1,-1,
38187,0,,1,-1,-1,-1,-1,
38188,0,,1,-1,-1,-1,-1,
38189,0,,1,-1,-1,-1,-1,
38190,0,,1,-1,-1,-1,-1,
38191,0,,1,-1,-1,-1,-1,
38192,0,,1,-1,-1,-1,-1,
38193,0,,1,-1,-1,-1,-1,
38194,0,,1,-1,-1,-1,-1,
38195,0,,1,-1,-1,-1,-1,
38196,0,,1,-1,-1,-1,-1,
38197,0,,1,-1,-1,-1,-1,
38198,0,,1,-1,-1,-1,-1,
38199,0,,1,-1,-1,-1,-1,
38200,0,,1,-1,-1,-1,-1,
38201,0,,1,-1,-1,-1,-1,
38202,0,,1,-1,-1,-1,-1,
38203,0,,1,-1,-1,-1,-1,
38204,0,,1,-1,-1,-1,-1,
38205,0,,1,-1,-1,-1,-1,
38206,0,,1,-1,-1,-1,-1,
38207,0,,1,-1,-1,-1,-1,
38208,0,,1,-1,-1,-1,-1,
38209,0,,1,-1,-1,-1,-1,
38210,0,,1,-1,-1,-1,-1,
38211,0,,1,-1,-1,-1,-1,
38212,0,,1,-1,-1,-1,-1,
38213,0,,1,-1,-1,-1,-1,
38214,0,,1,-1,-1,-1,-1,
38215,0,,1,-1,-1,-1,-1,
38216,0,,1,-1,-1,-1,-1,
38217,0,,1,-1,-1,-1,-1,
38218,0,,1,-1,-1,-1,-1,
38219,0,,1,-1,-1,-1,-1,
38220,0,,1,-1,-1,-1,-1,
38221,0,,1,-1,-1,-1,-1,
38222,0,,1,-1,-1,-1,-1,
38223,0,,1,-1,-1,-1,-1,
38224,0,,1,-1,-1,-1,-1,
38225,0,,1,-1,-1,-1,-1,
38226,0,,1,-1,-1,-1,-1,
38227,0,,1,-1,-1,-1,-1,
38228,0,,1,-1,-1,-1,-1,
38229,0,,1,-1,-1,-1,-1,
38230,0,,1,-1,-1,-1,-1,
38231,0,,1,-1,-1,-1,-1,
38232,0,,1,-1,-1,-1,-1,
38233,0,,1,-1,-1,-1,-1,
38234,0,,1,-1,-1,-1,-1,
38235,0,,1,-1,-1,-1,-1,
38236,0,,1,-1,-1,-1,-1,
38237,0,,1,-1,-1,-1,-1,
38238,0,,1,-1,-1,-1,-1,
38239,0,,1,-1,-1,-1,-1,
38240,0,,1,-1,-1,-1,-1,
38241,0,,1,-1,-1,-1,-1,
38242,0,,1,-1,-1,-1,-1,
38243,0,,1,-1,-1,-1,-1,
38244,0,,1,-1,-1,-1,-1,
38245,0,,1,-1,-1,-1,-1,
38246,0,,1,-1,-1,-1,-1,
38247,0,,1,-1,-1,-1,-1,
38248,0,,1,-1,-1,-1,-1,
38249,0,,1,-1,-1,-1,-1,
38250,0,,1,-1,-1,-1,-1,
38251,0,,1,-1,-1,-1,-1,
38252,0,,1,-1,-1,-1,-1,
38253,0,,1,-1,-1,-1,-1,
38254,0,,1,-1,-1,-1,-1,
38255,0,,1,-1,-1,-1,-1,
38256,0,,1,-1,-1,-1,-1,
38257,0,,1,-1,-1,-1,-1,
38258,0,,1,-1,-1,-1,-1,
38259,0,,1,-1,-1,-1,-1,
38260,0,,1,-1,-1,-1,-1,
38261,0,,1,-1,-1,-1,-1,
38262,0,,1,-1,-1,-1,-1,
38263,0,,1,-1,-1,-1,-1,
38264,0,,1,-1,-1,-1,-1,
38265,0,,1,-1,-1,-1,-1,
38266,0,,1,-1,-1,-1,-1,
38267,0,,1,-1,-1,-1,-1,
38268,0,,1,-1,-1,-1,-1,
38269,0,,1,-1,-1,-1,-1,
38270,0,,1,-1,-1,-1,-1,
38271,0,,1,-1,-1,-1,-1,
38272,0,,1,-1,-1,-1,-1,
38273,0,,1,-1,-1,-1,-1,
38274,0,,1,-1,-1,-1,-1,
38275,0,,1,-1,-1,-1,-1,
38276,0,,1,-1,-1,-1,-1,
38277,0,,1,-1,-1,-1,-1,
38278,0,,1,-1,-1,-1,-1,
38279,0,,1,-1,-1,-1,-1,
38280,0,,1,-1,-1,-1,-1,
38281,0,,1,-1,-1,-1,-1,
38282,0,,1,-1,-1,-1,-1,
38283,0,,1,-1,-1,-1,-1,
38284,0,,1,-1,-1,-1,-1,
38285,0,,1,-1,-1,-1,-1,
38286,0,,1,-1,-1,-1,-1,
38287,0,,1,-1,-1,-1,-1,
38288,0,,1,-1,-1,-1,-1,
38289,0,,1,-1,-1,-1,-1,
38290,0,,1,-1,-1,-1,-1,
38291,0,,1,-1,-1,-1,-1,
38292,0,,1,-1,-1,-1,-1,
38293,0,,1,-1,-1,-1,-1,
38294,0,,1,-1,-1,-1,-1,
38295,0,,1,-1,-1,-1,-1,
38296,0,,1,-1,-1,-1,-1,
38297,0,,1,-1,-1,-1,-1,
38298,0,,1,-1,-1,-1,-1,
38299,0,,1,-1,-1,-1,-1,
38300,0,,1,-1,-1,-1,-1,
38301,0,,1,-1,-1,-1,-1,
38302,0,,1,-1,-1,-1,-1,
38303,0,,1,-1,-1,-1,-1,
38304,0,,1,-1,-1,-1,-1,
38305,0,,1,-1,-1,-1,-1,
38306,0,,1,-1,-1,-1,-1,
38307,0,,1,-1,-1,-1,-1,
38308,0,,1,-1,-1,-1,-1,
38309,0,,1,-1,-1,-1,-1,
38310,0,,1,-1,-1,-1,-1,
38311,0,,1,-1,-1,-1,-1,
38312,0,,1,-1,-1,-1,-1,
38313,0,,1,-1,-1,-1,-1,
38314,0,,1,-1,-1,-1,-1,
38315,0,,1,-1,-1,-1,-1,
38316,0,,1,-1,-1,-1,-1,
38317,0,,1,-1,-1,-1,-1,
38318,0,,1,-1,-1,-1,-1,
38319,0,,1,-1,-1,-1,-1,
38320,0,,1,-1,-1,-1,-1,
38321,0,,1,-1,-1,-1,-1,
38322,0,,1,-1,-1,-1,-1,
38323,0,,1,-1,-1,-1,-1,
38324,0,,1,-1,-1,-1,-1,
38325,0,,1,-1,-1,-1,-1,
38326,0,,1,-1,-1,-1,-1,
38327,0,,1,-1,-1,-1,-1,
38328,0,,1,-1,-1,-1,-1,
38329,0,,1,-1,-1,-1,-1,
38330,0,,1,-1,-1,-1,-1,
38331,0,,1,-1,-1,-1,-1,
38332,0,,1,-1,-1,-1,-1,
38333,0,,1,-1,-1,-1,-1,
38334,0,,1,-1,-1,-1,-1,
38335,0,,1,-1,-1,-1,-1,
38336,0,,1,-1,-1,-1,-1,
38337,0,,1,-1,-1,-1,-1,
38338,0,,1,-1,-1,-1,-1,
38339,0,,1,-1,-1,-1,-1,
38340,0,,1,-1,-1,-1,-1,
38341,0,,1,-1,-1,-1,-1,
38342,0,,1,-1,-1,-1,-1,
38343,0,,1,-1,-1,-1,-1,
38344,0,,1,-1,-1,-1,-1,
38345,0,,1,-1,-1,-1,-1,
38346,0,,1,-1,-1,-1,-1,
38347,0,,1,-1,-1,-1,-1,
38348,0,,1,-1,-1,-1,-1,
38349,0,,1,-1,-1,-1,-1,
38350,0,,1,-1,-1,-1,-1,
38351,0,,1,-1,-1,-1,-1,
38352,0,,1,-1,-1,-1,-1,
38353,0,,1,-1,-1,-1,-1,
38354,0,,1,-1,-1,-1,-1,
38355,0,,1,-1,-1,-1,-1,
38356,0,,1,-1,-1,-1,-1,
38357,0,,1,-1,-1,-1,-1,
38358,0,,1,-1,-1,-1,-1,
38359,0,,1,-1,-1,-1,-1,
38360,0,,1,-1,-1,-1,-1,
38361,0,,1,-1,-1,-1,-1,
38362,0,,1,-1,-1,-1,-1,
38363,0,,1,-1,-1,-1,-1,
38364,0,,1,-1,-1,-1,-1,
38365,0,,1,-1,-1,-1,-1,
38366,0,,1,-1,-1,-1,-1,
38367,0,,1,-1,-1,-1,-1,
38368,0,,1,-1,-1,-1,-1,
38369,0,,1,-1,-1,-1,-1,
38370,0,,1,-1,-1,-1,-1,
38371,0,,1,-1,-1,-1,-1,
38372,0,,1,-1,-1,-1,-1,
38373,0,,1,-1,-1,-1,-1,
38374,0,,1,-1,-1,-1,-1,
38375,0,,1,-1,-1,-1,-1,
38376,0,,1,-1,-1,-1,-1,
38377,0,,1,-1,-1,-1,-1,
38378,0,,1,-1,-1,-1,-1,
38379,0,,1,-1,-1,-1,-1,
38380,0,,1,-1,-1,-1,-1,
38381,0,,1,-1,-1,-1,-1,
38382,0,,1,-1,-1,-1,-1,
38383,0,,1,-1,-1,-1,-1,
38384,0,,1,-1,-1,-1,-1,
38385,0,,1,-1,-1,-1,-1,
38386,0,,1,-1,-1,-1,-1,
38387,0,,1,-1,-1,-1,-1,
38388,0,,1,-1,-1,-1,-1,
38389,0,,1,-1,-1,-1,-1,
38390,0,,1,-1,-1,-1,-1,
38391,0,,1,-1,-1,-1,-1,
38392,0,,1,-1,-1,-1,-1,
38393,0,,1,-1,-1,-1,-1,
38394,0,,1,-1,-1,-1,-1,
38395,0,,1,-1,-1,-1,-1,
38396,0,,1,-1,-1,-1,-1,
38397,0,,1,-1,-1,-1,-1,
38398,0,,1,-1,-1,-1,-1,
38399,0,,1,-1,-1,-1,-1,
38400,0,,1,-1,-1,-1,-1,
38401,0,,1,-1,-1,-1,-1,
38402,0,,1,-1,-1,-1,-1,
38403,0,,1,-1,-1,-1,-1,
38404,0,,1,-1,-1,-1,-1,
38405,0,,1,-1,-1,-1,-1,
38406,0,,1,-1,-1,-1,-1,
38407,0,,1,-1,-1,-1,-1,
38408,0,,1,-1,-1,-1,-1,
38409,0,,1,-1,-1,-1,-1,
38410,0,,1,-1,-1,-1,-1,
38411,0,,1,-1,-1,-1,-1,
38412,0,,1,-1,-1,-1,-1,
38413,0,,1,-1,-1,-1,-1,
38414,0,,1,-1,-1,-1,-1,
38415,0,,1,-1,-1,-1,-1,
38416,0,,1,-1,-1,-1,-1,
38417,0,,1,-1,-1,-1,-1,
38418,0,,1,-1,-1,-1,-1,
38419,0,,1,-1,-1,-1,-1,
38420,0,,1,-1,-1,-1,-1,
38421,0,,1,-1,-1,-1,-1,
38422,0,,1,-1,-1,-1,-1,
38423,0,,1,-1,-1,-1,-1,
38424,0,,1,-1,-1,-1,-1,
38425,0,,1,-1,-1,-1,-1,
38426,0,,1,-1,-1,-1,-1,
38427,0,,1,-1,-1,-1,-1,
38428,0,,1,-1,-1,-1,-1,
38429,0,,1,-1,-1,-1,-1,
38430,0,,1,-1,-1,-1,-1,
38431,0,,1,-1,-1,-1,-1,
38432,0,,1,-1,-1,-1,-1,
38433,0,,1,-1,-1,-1,-1,
38434,0,,1,-1,-1,-1,-1,
38435,0,,1,-1,-1,-1,-1,
38436,0,,1,-1,-1,-1,-1,
38437,0,,1,-1,-1,-1,-1,
38438,0,,1,-1,-1,-1,-1,
38439,0,,1,-1,-1,-1,-1,
38440,0,,1,-1,-1,-1,-1,
38441,0,,1,-1,-1,-1,-1,
38442,0,,1,-1,-1,-1,-1,
38443,0,,1,-1,-1,-1,-1,
38444,0,,1,-1,-1,-1,-1,
38445,0,,1,-1,-1,-1,-1,
38446,0,,1,-1,-1,-1,-1,
38447,0,,1,-1,-1,-1,-1,
38448,0,,1,-1,-1,-1,-1,
38449,0,,1,-1,-1,-1,-1,
38450,0,,1,-1,-1,-1,-1,
38451,0,,1,-1,-1,-1,-1,
38452,0,,1,-1,-1,-1,-1,
38453,0,,1,-1,-1,-1,-1,
38454,0,,1,-1,-1,-1,-1,
38455,0,,1,-1,-1,-1,-1,
38456,0,,1,-1,-1,-1,-1,
38457,0,,1,-1,-1,-1,-1,
38458,0,,1,-1,-1,-1,-1,
38459,0,,1,-1,-1,-1,-1,
38460,0,,1,-1,-1,-1,-1,
38461,0,,1,-1,-1,-1,-1,
38462,0,,1,-1,-1,-1,-1,
38463,0,,1,-1,-1,-1,-1,
38464,0,,1,-1,-1,-1,-1,
38465,0,,1,-1,-1,-1,-1,
38466,0,,1,-1,-1,-1,-1,
38467,0,,1,-1,-1,-1,-1,
38468,0,,1,-1,-1,-1,-1,
38469,0,,1,-1,-1,-1,-1,
38470,0,,1,-1,-1,-1,-1,
38471,0,,1,-1,-1,-1,-1,
38472,0,,1,-1,-1,-1,-1,
38473,0,,1,-1,-1,-1,-1,
38474,0,,1,-1,-1,-1,-1,
38475,0,,1,-1,-1,-1,-1,
38476,0,,1,-1,-1,-1,-1,
38477,0,,1,-1,-1,-1,-1,
38478,0,,1,-1,-1,-1,-1,
38479,0,,1,-1,-1,-1,-1,
38480,0,,1,-1,-1,-1,-1,
38481,0,,1,-1,-1,-1,-1,
38482,0,,1,-1,-1,-1,-1,
38483,0,,1,-1,-1,-1,-1,
38484,0,,1,-1,-1,-1,-1,
38485,0,,1,-1,-1,-1,-1,
38486,0,,1,-1,-1,-1,-1,
38487,0,,1,-1,-1,-1,-1,
38488,0,,1,-1,-1,-1,-1,
38489,0,,1,-1,-1,-1,-1,
38490,0,,1,-1,-1,-1,-1,
38491,0,,1,-1,-1,-1,-1,
38492,0,,1,-1,-1,-1,-1,
38493,0,,1,-1,-1,-1,-1,
38494,0,,1,-1,-1,-1,-1,
38495,0,,1,-1,-1,-1,-1,
38496,0,,1,-1,-1,-1,-1,
38497,0,,1,-1,-1,-1,-1,
38498,0,,1,-1,-1,-1,-1,
38499,0,,1,-1,-1,-1,-1,
38500,0,,1,-1,-1,-1,-1,
38501,0,,1,-1,-1,-1,-1,
38502,0,,1,-1,-1,-1,-1,
38503,0,,1,-1,-1,-1,-1,
38504,0,,1,-1,-1,-1,-1,
38505,0,,1,-1,-1,-1,-1,
38506,0,,1,-1,-1,-1,-1,
38507,0,,1,-1,-1,-1,-1,
38508,0,,1,-1,-1,-1,-1,
38509,0,,1,-1,-1,-1,-1,
38510,0,,1,-1,-1,-1,-1,
38511,0,,1,-1,-1,-1,-1,
38512,0,,1,-1,-1,-1,-1,
38513,0,,1,-1,-1,-1,-1,
38514,0,,1,-1,-1,-1,-1,
38515,0,,1,-1,-1,-1,-1,
38516,0,,1,-1,-1,-1,-1,
38517,0,,1,-1,-1,-1,-1,
38518,0,,1,-1,-1,-1,-1,
38519,0,,1,-1,-1,-1,-1,
38520,0,,1,-1,-1,-1,-1,
38521,0,,1,-1,-1,-1,-1,
38522,0,,1,-1,-1,-1,-1,
38523,0,,1,-1,-1,-1,-1,
38524,0,,1,-1,-1,-1,-1,
38525,0,,1,-1,-1,-1,-1,
38526,0,,1,-1,-1,-1,-1,
38527,0,,1,-1,-1,-1,-1,
38528,0,,1,-1,-1,-1,-1,
38529,0,,1,-1,-1,-1,-1,
38530,0,,1,-1,-1,-1,-1,
38531,0,,1,-1,-1,-1,-1,
38532,0,,1,-1,-1,-1,-1,
38533,0,,1,-1,-1,-1,-1,
38534,0,,1,-1,-1,-1,-1,
38535,0,,1,-1,-1,-1,-1,
38536,0,,1,-1,-1,-1,-1,
38537,0,,1,-1,-1,-1,-1,
38538,0,,1,-1,-1,-1,-1,
38539,0,,1,-1,-1,-1,-1,
38540,0,,1,-1,-1,-1,-1,
38541,0,,1,-1,-1,-1,-1,
38542,0,,1,-1,-1,-1,-1,
38543,0,,1,-1,-1,-1,-1,
38544,0,,1,-1,-1,-1,-1,
38545,0,,1,-1,-1,-1,-1,
38546,0,,1,-1,-1,-1,-1,
38547,0,,1,-1,-1,-1,-1,
38548,0,,1,-1,-1,-1,-1,
38549,0,,1,-1,-1,-1,-1,
38550,0,,1,-1,-1,-1,-1,
38551,0,,1,-1,-1,-1,-1,
38552,0,,1,-1,-1,-1,-1,
38553,0,,1,-1,-1,-1,-1,
38554,0,,1,-1,-1,-1,-1,
38555,0,,1,-1,-1,-1,-1,
38556,0,,1,-1,-1,-1,-1,
38557,0,,1,-1,-1,-1,-1,
38558,0,,1,-1,-1,-1,-1,
38559,0,,1,-1,-1,-1,-1,
38560,0,,1,-1,-1,-1,-1,
38561,0,,1,-1,-1,-1,-1,
38562,0,,1,-1,-1,-1,-1,
38563,0,,1,-1,-1,-1,-1,
38564,0,,1,-1,-1,-1,-1,
38565,0,,1,-1,-1,-1,-1,
38566,0,,1,-1,-1,-1,-1,
38567,0,,1,-1,-1,-1,-1,
38568,0,,1,-1,-1,-1,-1,
38569,0,,1,-1,-1,-1,-1,
38570,0,,1,-1,-1,-1,-1,
38571,0,,1,-1,-1,-1,-1,
38572,0,,1,-1,-1,-1,-1,
38573,0,,1,-1,-1,-1,-1,
38574,0,,1,-1,-1,-1,-1,
38575,0,,1,-1,-1,-1,-1,
38576,0,,1,-1,-1,-1,-1,
38577,0,,1,-1,-1,-1,-1,
38578,0,,1,-1,-1,-1,-1,
38579,0,,1,-1,-1,-1,-1,
38580,0,,1,-1,-1,-1,-1,
38581,0,,1,-1,-1,-1,-1,
38582,0,,1,-1,-1,-1,-1,
38583,0,,1,-1,-1,-1,-1,
38584,0,,1,-1,-1,-1,-1,
38585,0,,1,-1,-1,-1,-1,
38586,0,,1,-1,-1,-1,-1,
38587,0,,1,-1,-1,-1,-1,
38588,0,,1,-1,-1,-1,-1,
38589,0,,1,-1,-1,-1,-1,
38590,0,,1,-1,-1,-1,-1,
38591,0,,1,-1,-1,-1,-1,
38592,0,,1,-1,-1,-1,-1,
38593,0,,1,-1,-1,-1,-1,
38594,0,,1,-1,-1,-1,-1,
38595,0,,1,-1,-1,-1,-1,
38596,0,,1,-1,-1,-1,-1,
38597,0,,1,-1,-1,-1,-1,
38598,0,,1,-1,-1,-1,-1,
38599,0,,1,-1,-1,-1,-1,
38600,0,,1,-1,-1,-1,-1,
38601,0,,1,-1,-1,-1,-1,
38602,0,,1,-1,-1,-1,-1,
38603,0,,1,-1,-1,-1,-1,
38604,0,,1,-1,-1,-1,-1,
38605,0,,1,-1,-1,-1,-1,
38606,0,,1,-1,-1,-1,-1,
38607,0,,1,-1,-1,-1,-1,
38608,0,,1,-1,-1,-1,-1,
38609,0,,1,-1,-1,-1,-1,
38610,0,,1,-1,-1,-1,-1,
38611,0,,1,-1,-1,-1,-1,
38612,0,,1,-1,-1,-1,-1,
38613,0,,1,-1,-1,-1,-1,
38614,0,,1,-1,-1,-1,-1,
38615,0,,1,-1,-1,-1,-1,
38616,0,,1,-1,-1,-1,-1,
38617,0,,1,-1,-1,-1,-1,
38618,0,,1,-1,-1,-1,-1,
38619,0,,1,-1,-1,-1,-1,
38620,0,,1,-1,-1,-1,-1,
38621,0,,1,-1,-1,-1,-1,
38622,0,,1,-1,-1,-1,-1,
38623,0,,1,-1,-1,-1,-1,
38624,0,,1,-1,-1,-1,-1,
38625,0,,1,-1,-1,-1,-1,
38626,0,,1,-1,-1,-1,-1,
38627,0,,1,-1,-1,-1,-1,
38628,0,,1,-1,-1,-1,-1,
38629,0,,1,-1,-1,-1,-1,
38630,0,,1,-1,-1,-1,-1,
38631,0,,1,-1,-1,-1,-1,
38632,0,,1,-1,-1,-1,-1,
38633,0,,1,-1,-1,-1,-1,
38634,0,,1,-1,-1,-1,-1,
38635,0,,1,-1,-1,-1,-1,
38636,0,,1,-1,-1,-1,-1,
38637,0,,1,-1,-1,-1,-1,
38638,0,,1,-1,-1,-1,-1,
38639,0,,1,-1,-1,-1,-1,
38640,0,,1,-1,-1,-1,-1,
38641,0,,1,-1,-1,-1,-1,
38642,0,,1,-1,-1,-1,-1,
38643,0,,1,-1,-1,-1,-1,
38644,0,,1,-1,-1,-1,-1,
38645,0,,1,-1,-1,-1,-1,
38646,0,,1,-1,-1,-1,-1,
38647,0,,1,-1,-1,-1,-1,
38648,0,,1,-1,-1,-1,-1,
38649,0,,1,-1,-1,-1,-1,
38650,0,,1,-1,-1,-1,-1,
38651,0,,1,-1,-1,-1,-1,
38652,0,,1,-1,-1,-1,-1,
38653,0,,1,-1,-1,-1,-1,
38654,0,,1,-1,-1,-1,-1,
38655,0,,1,-1,-1,-1,-1,
38656,0,,1,-1,-1,-1,-1,
38657,0,,1,-1,-1,-1,-1,
38658,0,,1,-1,-1,-1,-1,
38659,0,,1,-1,-1,-1,-1,
38660,0,,1,-1,-1,-1,-1,
38661,0,,1,-1,-1,-1,-1,
